0000147;+
0000249;+
0000779;+
0001247;+
0001264;+
0002510;+
0002571;+
0002727;+
0003111;+
0003376;+
0003800;+
0004065;+
0004167;+
0004309;+
0004428;+
0004697;+
0005284;+
0005298;+
0006000;+
0006469;+
0006543;+
0007113;+
0007189;+
0007422;+
0007453;+
0007949;+
0008933;+
0009653;+
0009711;+
0010421;+
0010571;+
0011226;+
0011257;+
0011637;+
0011827;+
0012211;+
0012290;+
0012428;+
0012459;+
0013222;+
0014353;+
0014398;+
0014407;+
0014438;+
0014870;+
0014954;+
0015246;+
0015851;+
0015921;+
0016332;+
0017463;+
0017534;+
0018268;+
0018285;+
0018387;+
0020825;+
0020975;+
0022398;+
0022438;+
0023334;+
0025004;+
0026166;+
0027411;+
0027782;+
0029554;+
0030163;+
0030367;+
0030407;+
0030821;+
0030923;+
0031321;+
0033503;+
0033622;+
0033914;+
0034961;+
0035218;+
0036030;+
0036202;+
0036437;+
0036896;+
0036936;+
0037188;+
0037381;+
0037585;+
0038084;+
0038742;+
0038946;+
0038963;+
0039017;+
0039272;+
0039309;+
0039391;+
0039431;+
0039621;+
0040258;+
0040403;+
0040709;+
0040916;+
0041199;+
0042078;+
0042081;+
0042152;+
0042170;+
0042206;+
0042529;+
0042603;+
0042621;+
0042679;+
0042798;+
0042912;+
0043120;+
0043218;+
0043283;+
0043972;+
0044485;+
0044560;+
0045483;+
0045510;+
0046521;+
0046566;+
0046977;+
0047272;+
0047388;+
0047502;+
0047581;+
0047992;+
0048081;+
0048103;+
0048240;+
0048341;+
0048593;+
0048899;+
0049282;+
0049486;+
0049509;+
0049574;+
0050767;+
0050912;+
0051080;+
0051102;+
0051439;+
0051924;+
0052114;+
0052193;+
0052803;+
0052865;+
0052882;+
0053055;+
0053174;+
0053449;+
0053877;+
0053951;+
0054071;+
0054402;+
0060454;+
0062416;+
0064704;+
0064991;+
0067761;+
0067951;+
0069081;+
0070022;+
0070447;+
0070478;+
0073089;+
0073129;+
0073132;+
0073163;+
0073251;+
0074011;+
0074422;+
0078283;+
0078867;+
0078907;+
0080148;+
0080681;+
0081092;+
0081371;+
0083845;+
0084171;+
0086938;+
0089141;+
0089610;+
0095012;+
0095525;+
0095763;+
0095781;+
0095794;+
0095834;+
0095882;+
0095998;+
0096086;+
0096112;+
0096228;+
0096245;+
0096713;+
0096934;+
0097464;+
0097668;+
0097708;+
0098122;+
0098136;+
